movie_id,user_id,rate
tt0032455,ur156820301,5.0
tt0032455,ur89008813,3.0
tt0104652,ur0281280,6.0
tt0104652,ur104436023,2.0
tt0104652,ur94900494,10.0
tt3901826,ur58133658,10.0
tt1488589,ur57257775,6.0
tt0441773,ur66705434,9.0
tt0097757,ur1192901,10.0
tt7979580,ur0337549,2.0
tt7979580,ur1061324,1.0
tt0876563,ur49164147,10.0
tt0029583,ur65170516,8.0
tt0029583,ur23875235,2.0
tt0029583,ur128745427,9.0
tt0216651,ur5035536,7.0
tt0216651,ur57867801,8.0
tt0029583,ur18374320,10.0
tt0029583,ur3565400,8.0
tt0078480,ur57867801,7.0
tt0079833,ur124167357,9.0
tt0079833,ur82252516,10.0
tt0983213,ur24712037,8.0
tt0312004,ur115237924,9.0
tt0032910,ur22850733,8.0
tt4633694,ur36608253,9.0
tt5311514,ur57257775,4.0
tt5311514,ur97717038,9.0
tt2380307,ur1700642,9.0
tt0119698,ur65377266,1.0
tt0119698,ur1192901,9.0
tt0266543,ur62201298,10.0
tt0266543,ur70287271,10.0
tt11032374,ur87974234,9.0
tt2096673,ur27430476,9.0
tt0892769,ur60574239,10.0
tt0198781,ur80886781,10.0
tt0096283,ur0536081,9.0
tt0096283,ur80886781,10.0
tt0096283,ur65170516,7.0
tt2948356,ur47608537,7.0
tt0103639,ur55782634,10.0
tt2948372,ur65170516,8.0
tt2948372,ur3565400,10.0
tt5198068,ur16438374,9.0
tt0808417,ur18902470,9.0
tt1865505,ur1192901,10.0
tt0808417,ur55782634,10.0
tt0126029,ur31131767,1.0
tt0126029,ur0763923,9.0
tt0107688,ur89008813,7.0
tt0432283,ur24665397,5.0
tt0107688,ur65170516,8.0
tt3262342,ur104436023,9.0
tt0795176,ur3565400,6.0
tt5491994,ur27911737,7.0
tt0795176,ur89008813,10.0
tt0795176,ur13490489,4.0
tt0795176,ur29218738,9.0
tt0795176,ur130398535,10.0
tt5491994,ur55782634,8.0
tt0417299,ur125975408,10.0
tt2395695,ur29218738,9.0
tt2395695,ur89008813,9.0
tt2395695,ur87974234,8.0
tt0944947,ur77751130,10.0
tt2861424,ur28202857,9.0
tt0071075,ur25653410,9.0
tt2861424,ur24010163,9.0
tt8420184,ur43608074,9.0
tt8420184,ur22003481,9.0
tt1355642,ur36476204,10.0
tt2861424,ur38086805,10.0
tt1533395,ur23650787,9.0
tt7678620,ur54211420,10.0
tt11126994,ur104436023,9.0
tt11126994,ur156820301,10.0
tt0386676,ur31131767,9.0
tt0386676,ur15777810,10.0
tt0386676,ur76835264,9.0
tt10541088,ur45650862,7.0
tt0098769,ur156820301,9.0
tt0098904,ur46025114,1.0
tt0092337,ur0337549,2.0
tt7920978,ur11719161,10.0
tt7920978,ur27083426,10.0
tt9735318,ur0337549,9.0
tt9735318,ur56998392,10.0
tt2802850,ur79244288,10.0
tt2802850,ur104436023,9.0
tt2297757,ur53164859,6.0
tt1865718,ur29838063,10.0
tt7137906,ur27083426,4.0
tt0108778,ur60574239,10.0
tt0108778,ur27083426,4.0
tt2571774,ur46581731,10.0
tt4934214,ur80886781,8.0
tt4934214,ur5396628,10.0
tt2571774,ur22270998,9.0
tt13675832,ur131172521,10.0
tt0200276,ur5552542,10.0
tt13675832,ur28202857,9.0
tt13675832,ur25681684,10.0
tt0264235,ur60457959,9.0
tt0193676,ur47687718,10.0
tt3398228,ur0763923,9.0
tt3398228,ur0763923,8.0
tt3398228,ur11719161,9.0
tt2085059,ur50988829,10.0
tt2707408,ur46581731,10.0
tt2707408,ur60574239,4.0
tt0214341,ur24712037,9.0
tt0214341,ur0337549,3.0
tt0214341,ur50520421,1.0
tt0121955,ur76668943,8.0
tt3718778,ur154727045,10.0
tt0384766,ur31131767,1.0
tt0248654,ur20697039,10.0
tt0248654,ur46025114,10.0
tt5753856,ur156820301,9.0
tt1910272,ur28202857,7.0
tt1190634,ur47327821,10.0
tt5687612,ur24712037,6.0
tt0096697,ur4107851,5.0
tt0096697,ur46581731,10.0
tt0096697,ur84639983,10.0
tt0407362,ur73159948,10.0
tt12004706,ur28202857,9.0
tt12004706,ur3677127,9.0
tt0412142,ur11927083,6.0
tt0412142,ur0802280,9.0
tt0412142,ur68949462,5.0
tt4574334,ur61029895,10.0
tt0804503,ur24712037,9.0
tt0804503,ur30030184,3.0
tt1518542,ur22137032,10.0
tt0387764,ur156820301,8.0
